"By administrative divisions(eup, myeon, dong)",Total population (Person),Male (Person),Female (Person),Korean - total (Person),Korean - male (Person),Korean - Female (Person),Foreigner-Total (Person),Foreigner-Male (Person),Foreigner-Female (Person),Household-Total (households),Type of occupancy (households),Institutional households (households),Foreigner household (households),Housing units-Total (Housing),Detached dwelling (Housing),Apartment (Housing),Row house (Housing),Apartment unit ina private house (Housing),House within commercial building (Housing),Living quaters other than housing unit (Housing)
Jongno-gu,154969,74880,80089,141810,69062,72748,13159,5818,7341,67650,62652,113,4885,46440,12421,15290,5459,12349,921,5084
Jung-gu,130957,63406,67551,118398,57381,61017,12559,6025,6534,59440,54496,98,4846,41754,6035,25823,1940,7095,861,5286
Yongsan-gu,227181,110934,116247,206678,99313,107365,20503,11621,8882,99777,93177,80,6520,72463,14487,36181,3959,17107,729,6151
Seongdong-gu,299688,146630,153058,287914,141020,146894,11774,5610,6164,127557,122770,79,4708,91037,10782,67058,2021,10095,1081,5851
Gwangjin-gu,359766,174027,185739,338841,164553,174288,20925,9474,11451,158673,149905,87,8681,89132,15786,32089,4068,35697,1492,6931
Dongdaemun-gu,355094,174161,180933,334045,165309,168736,21049,8852,12197,157662,148349,126,9187,104821,18990,64081,3280,16834,1636,8791
Jungnang-gu,386331,190531,195800,379240,187569,191671,7091,2962,4129,163422,160776,54,2592,107997,18891,52162,4440,30958,1546,3882
Seongbuk-gu,445327,213832,231495,429775,207211,222564,15552,6621,8931,182594,176729,162,5703,136437,23156,77457,6044,28315,1465,3474
Gangbuk-gu,303871,147112,156759,298525,145024,153501,5346,2088,3258,130161,128012,72,2077,97070,18017,34590,4748,38645,1070,2348
Dobong-gu,323543,156961,166582,320223,155581,164642,3320,1380,1940,127843,126831,58,954,106641,8835,64955,4131,27986,734,3915
Nowon-gu,522480,252662,269818,516201,249784,266417,6279,2878,3401,202930,201458,103,1369,187376,6680,161873,3440,14684,699,3237
Eunpyeong-gu,461530,222076,239454,455140,219283,235857,6390,2793,3597,186841,184890,82,1869,148557,15146,57712,5914,68514,1271,9057
Seodaemun-gu,319394,149113,170281,303075,143082,159993,16319,6031,10288,134437,128635,105,5697,97616,12958,50747,5477,27489,945,5464
Mapo-gu,369327,173893,195434,355020,167814,187206,14307,6079,8228,162161,156885,102,5174,119298,11854,68111,3165,34577,1591,14612
Yangcheon-gu,440354,216078,224276,434133,213211,220922,6221,2867,3354,165106,162867,45,2194,139938,7818,87387,4144,39730,859,6257
Gangseo-gu,574097,277365,296732,565054,273209,291845,9043,4156,4887,243220,240135,76,3009,193551,10456,113076,4853,64018,1148,25233
Guro-gu,435560,217373,218187,389524,192276,197248,46036,25097,20939,178837,160378,106,18353,129693,11692,81131,7399,28622,849,13434
Geumcheon-gu,249747,127242,122505,222193,112286,109907,27554,14956,12598,111250,99315,81,11854,67012,9011,30996,3913,22548,544,8473
Yeongdeungpo-gu,394083,196903,197180,345903,171068,174835,48180,25835,22345,169700,153923,127,15650,101603,14378,69946,1502,14595,1182,23833
Dongjak-gu,400368,194049,206319,382396,185757,196639,17972,8292,9680,172323,164963,106,7254,115075,14661,61596,5161,32557,1100,3159
Gwanak-gu,507828,254082,253746,482476,242205,240271,25352,11877,13475,253139,242154,174,10811,126526,21510,54355,6438,42253,1970,17235
Seocho-gu,404960,194195,210765,397025,189922,207103,7935,4273,3662,157635,155377,73,2185,131777,6331,92106,5489,26531,1320,7870
Gangnam-gu,509199,244403,264796,499474,239049,260425,9725,5354,4371,209768,206524,84,3160,170444,7196,122664,5919,32872,1793,13246
Songpa-gu,648600,313725,334875,637683,308300,329383,10917,5425,5492,256160,252212,80,3868,208692,8255,125800,4899,68133,1605,15224
Gangdong-gu,415287,204807,210480,408618,201609,207009,6669,3198,3471,165671,162976,55,2640,123014,10220,73505,3165,35001,1123,6831
